"","location","date","new_cases"
"573","Gambia",2021-10-10,2
"574","Gambia",2021-10-11,0
"575","Gambia",2021-10-12,2
"576","Gambia",2021-10-13,0
"577","Gambia",2021-10-14,0
"578","Gambia",2021-10-15,3
"579","Gambia",2021-10-16,0
"580","Gambia",2021-10-17,0
"581","Gambia",2021-10-18,0
"582","Gambia",2021-10-19,0
"583","Gambia",2021-10-20,0
"584","Gambia",2021-10-21,0
"585","Gambia",2021-10-22,10
"586","Gambia",2021-10-23,0
"587","Gambia",2021-10-24,0
"588","Gambia",2021-10-25,0
"589","Gambia",2021-10-26,3
"590","Gambia",2021-10-27,4
"591","Gambia",2021-10-28,0
"592","Gambia",2021-10-29,2
"593","Gambia",2021-10-30,0
"594","Gambia",2021-10-31,0
"595","Gambia",2021-11-01,2
"596","Gambia",2021-11-02,6
"597","Gambia",2021-11-03,0
"598","Gambia",2021-11-04,0
"599","Gambia",2021-11-05,0
"600","Gambia",2021-11-06,0
"601","Gambia",2021-11-07,0
"602","Gambia",2021-11-08,0
"603","Gambia",2021-11-09,6
"604","Gambia",2021-11-10,1
"605","Gambia",2021-11-11,0
"606","Gambia",2021-11-12,0
"607","Gambia",2021-11-13,0
"608","Gambia",2021-11-14,0
"609","Gambia",2021-11-15,0
"610","Gambia",2021-11-16,6
"611","Gambia",2021-11-17,0
"612","Gambia",2021-11-18,0
"613","Gambia",2021-11-19,0
"614","Gambia",2021-11-20,0
"615","Gambia",2021-11-21,2
"616","Gambia",2021-11-22,0
"617","Gambia",2021-11-23,0
"618","Gambia",2021-11-24,0
"619","Gambia",2021-11-25,1
"620","Gambia",2021-11-26,0
"621","Gambia",2021-11-27,0
"622","Gambia",2021-11-28,0
"623","Gambia",2021-11-29,0
"624","Gambia",2021-11-30,0
"625","Gambia",2021-12-01,0
"626","Gambia",2021-12-02,3
"627","Gambia",2021-12-03,0
"628","Gambia",2021-12-04,0
"629","Gambia",2021-12-05,0
"630","Gambia",2021-12-06,6
"631","Gambia",2021-12-07,0
"632","Gambia",2021-12-08,0
"633","Gambia",2021-12-09,0
"634","Gambia",2021-12-10,0
"635","Gambia",2021-12-11,0
"636","Gambia",2021-12-12,36
"637","Gambia",2021-12-13,0
"638","Gambia",2021-12-14,11
"639","Gambia",2021-12-15,0
"640","Gambia",2021-12-16,0
"641","Gambia",2021-12-17,6
"642","Gambia",2021-12-18,0
"643","Gambia",2021-12-19,0
"644","Gambia",2021-12-20,0
"645","Gambia",2021-12-21,27
"646","Gambia",2021-12-22,0
"647","Gambia",2021-12-23,9
"648","Gambia",2021-12-24,0
"649","Gambia",2021-12-25,0
"650","Gambia",2021-12-26,0
"651","Gambia",2021-12-27,49
"652","Gambia",2021-12-28,0
"653","Gambia",2021-12-29,0
"654","Gambia",2021-12-30,0
"655","Gambia",2021-12-31,34
"656","Gambia",2022-01-01,0
"657","Gambia",2022-01-02,0
"658","Gambia",2022-01-03,0
"659","Gambia",2022-01-04,206
"660","Gambia",2022-01-05,0
"661","Gambia",2022-01-06,416
"662","Gambia",2022-01-07,0
"663","Gambia",2022-01-08,0
"664","Gambia",2022-01-09,0
"665","Gambia",2022-01-10,0
"666","Gambia",2022-01-11,330
"667","Gambia",2022-01-12,0
"668","Gambia",2022-01-13,0
"669","Gambia",2022-01-14,0
"670","Gambia",2022-01-15,0
"671","Gambia",2022-01-16,0
"672","Gambia",2022-01-17,450
"673","Gambia",2022-01-18,0
"674","Gambia",2022-01-19,0
"675","Gambia",2022-01-20,0
"676","Gambia",2022-01-21,0
"677","Gambia",2022-01-22,0
"678","Gambia",2022-01-23,0
"679","Gambia",2022-01-24,0
"680","Gambia",2022-01-25,0
"681","Gambia",2022-01-26,0
"682","Gambia",2022-01-27,0
"683","Gambia",2022-01-28,0
"684","Gambia",2022-01-29,270
"685","Gambia",2022-01-30,0
"686","Gambia",2022-01-31,0
"687","Gambia",2022-02-01,21
"688","Gambia",2022-02-02,0
"689","Gambia",2022-02-03,0
"690","Gambia",2022-02-04,17
"691","Gambia",2022-02-05,0
"692","Gambia",2022-02-06,0
"693","Gambia",2022-02-07,0
"694","Gambia",2022-02-08,0
"695","Gambia",2022-02-09,31
"696","Gambia",2022-02-10,0
"697","Gambia",2022-02-11,0
"698","Gambia",2022-02-12,0
"699","Gambia",2022-02-13,0
"700","Gambia",2022-02-14,0
"701","Gambia",2022-02-15,0
"702","Gambia",2022-02-16,13
"703","Gambia",2022-02-17,0
"704","Gambia",2022-02-18,0
"705","Gambia",2022-02-19,0
"706","Gambia",2022-02-20,0
"707","Gambia",2022-02-21,0
"708","Gambia",2022-02-22,0
"709","Gambia",2022-02-23,0
"710","Gambia",2022-02-24,0
"711","Gambia",2022-02-25,0
"712","Gambia",2022-02-26,0
"713","Gambia",2022-02-27,0
"714","Gambia",2022-02-28,15
"715","Gambia",2022-03-01,0
"716","Gambia",2022-03-02,0
"717","Gambia",2022-03-03,9
"718","Gambia",2022-03-04,0
"719","Gambia",2022-03-05,0
"720","Gambia",2022-03-06,0
"721","Gambia",2022-03-07,0
"722","Gambia",2022-03-08,15
"723","Gambia",2022-03-09,0
"724","Gambia",2022-03-10,0
"725","Gambia",2022-03-11,0
"726","Gambia",2022-03-12,0
"727","Gambia",2022-03-13,0
"728","Gambia",2022-03-14,10
"729","Gambia",2022-03-15,0
"730","Gambia",2022-03-16,0
"731","Gambia",2022-03-17,0
"732","Gambia",2022-03-18,5
"733","Gambia",2022-03-19,0
"734","Gambia",2022-03-20,0
